Example flight number,Flight number used for lookup,Lookup status,Number of legs,First leg departure airport IATA,Last leg arrival airport IATA,Distance in kilometers
ENT4766,ENT4766,OK,1,RMF,WRO,3213
FR9663,FR9663,OK,1,GOT,FCO,1764
BA812,BA812,FAIL,,,,
LO3923,LO3923,OK,1,WAW,KRK,247
FR4396,FR4396,OK,1,ARN,MMX,531
FR6085,FR6085,FAIL,,,,
FR4689,FR4689,OK,1,ALC,ARN,2711
FR1901,FR1901,OK,1,DUB,KRK,1821
LH406,LH406,FAIL,,,,
WF666,WF666,FAIL,,,,
FR6085,FR6085,FAIL,,,,
FR1006,FR1006,OK,1,OTP,STN,2067
KL0781,KL0781,FAIL,,,,
W61368,W61368,FAIL,,,,
W61340,W61340,FAIL,,,,
FR1006,FR1006,OK,1,OTP,STN,2067
FR2169,FR2169,OK,1,VLL,PMI,684
AF0257,AF0257,FAIL,,,,
FR6215,FR6215,OK,1,POZ,AGP,2416
FR7150,FR7150,FAIL,,,,
DK1555,DK1555,FAIL,,,,
MH0852,MH0852,FAIL,,,,
FR1641,FR1641,OK,1,BZG,LTN,1247
LH840,LH840,FAIL,,,,
W61332,W61332,FAIL,,,,
FR2466,FR2466,OK,1,STN,SZZ,1004
W61332,W61332,FAIL,,,,
W61368,W61368,FAIL,,,,
FR4689,FR4689,OK,1,ALC,ARN,2711
LO004,LO004,FAIL,,,,
DK1555,DK1555,FAIL,,,,
DK1555,DK1555,FAIL,,,,
UU972,UU972,FAIL,,,,
FR7606,FR7606,FAIL,,,,
W61332,W61332,FAIL,,,,
W61284,W61284,FAIL,,,,
FT1503,FT1503,OK,1,HRG,WAW,2978
FR2650,FR2650,FAIL,,,,
W65042,W65042,FAIL,,,,
TK0084,TK0084,FAIL,,,,
AY0121,AY0121,FAIL,,,,
W65042,W65042,FAIL,,,,
FR2812,FR2812,FAIL,,,,
VY6229,VY6229,OK,1,LGW,FCO,1406
FR5892,FR5892,OK,1,KRK,EIN,1023
TVP7313,TVP7313,OK,1,FUE,KTW,3688
W62405,W62405,FAIL,,,,
LAOI6W,LAOI6W,FAIL,,,,
LH2420,LH2420,FAIL,,,,
FR4106,FR4106,OK,1,GDN,WRO,380
W65004,W65004,FAIL,,,,
W91902,W91902,FAIL,,,,
FR2618,FR2618,OK,1,STN,CPH,915
W95178,W95178,FAIL,,,,
VY8015,VY8015,OK,1,ORY,BCN,825
W61381,W61381,FAIL,,,,
W91902,W91902,FAIL,,,,
W91901,W91901,FAIL,,,,
SK222,SK222,FAIL,,,,
HHJ9YD,HHJ9YD,FAIL,,,,
W61302,W61302,FAIL,,,,
NGLNCY,NGLNCY,FAIL,,,,
TP202,TP202,FAIL,,,,
W91902,W91902,FAIL,,,,
W65004,W65004,FAIL,,,,
W65042,W65042,FAIL,,,,
W61381,W61381,FAIL,,,,
W61381,W61381,FAIL,,,,
LH14,LH14,FAIL,,,,
FR5893,FR5893,OK,1,SVQ,PMI,787
AF422,AF422,FAIL,,,,
VY7821,VY7821,OK,1,LGW,BCN,1109
LNINXW,LNINXW,FAIL,,,,
W92066 LTN-LUZ,W92066 LTN-LUZ,FAIL,,,,
W92066,W92066,FAIL,,,,
W65048,W65048,FAIL,,,,
W61338,W61338,FAIL,,,,
W61311,W61311,FAIL,,,,
LX087,LX087,FAIL,,,,
IB3441,IB3441,OK,1,ORY,MAD,1030
XBM5UV,XBM5UV,FAIL,,,,
EWN4063,EWN4063,FAIL,,,,
W65048,W65048,FAIL,,,,
SN3182,SN3182,FAIL,,,,
W61006,W61006,FAIL,,,,
SK0187,SK0187,FAIL,,,,
FR8922,FR8922,OK,1,ARN,MLA,2657
W61002,W61002,FAIL,,,,
BLX371,BLX0371,OK,1,HKT,HEL,8312
FR3366,FR3366,OK,1,KUN,BER,755
AY1983,AY1983,OK,1,ARN,DOH,4618
FR570,FR570,FAIL,,,,
TF340,TF340,FAIL,,,,
W64048,W64048,FAIL,,,,
BA0846,BA0846,FAIL,,,,
W61488,W61488,FAIL,,,,
FR9095,FR9095,OK,1,BGY,GDN,1152
AF1750,AF1750,OK,1,CDG,CPH,1004
VY3913,VY3913,OK,1,PMI,BCN,202
AF1422,AF1422,OK,1,CDG,MUC,682
WF7761,WF7761,OK,1,ACE,BGO,3760
SK2645,SK2645,OK,1,ARN,HAM,825
W61354,W61354,FAIL,,,,
W61312,W61312,FAIL,,,,
FR2370,FR2370,OK,1,KRK,LDE,1688
LH2511,LH2511,OK,1,BHX,MUC,1060
W61312,W61312,FAIL,,,,
W61308,W61308,FAIL,,,,
W65072,W65072,FAIL,,,,
TG961 - B,TG961 - B,FAIL,,,,
TKCU9K,TKCU9K,FAIL,,,,
